City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,recani,31.2846,-4.2688,43.03,6,0,2.94,MA,1690985509
358,tsiombe,-25.3,45.4833,20.12,60,92,5.69,MG,1690985509
359,turpan,42.9333,89.1667,39.67,14,0,1.32,CN,1690985510
360,xichang,27.8964,102.2634,20.09,88,18,1.68,CN,1690985511
361,nagato,34.3833,131.2,27.44,81,99,8.94,JP,1690985511
362,mar del plata,-38.0023,-57.5575,15.01,53,0,4.12,AR,1690985491
363,sarupathar,26.1984,93.8094,26.69,94,100,1.56,IN,1690985512
364,ad dawadimi,24.5077,44.3924,41.38,6,0,2.86,SA,1690985513
365,medina,24.4686,39.6142,41.51,6,0,6.79,SA,1690985513
366,berdigestyakh,62.0989,126.6992,14.49,64,79,0.68,RU,1690985514
367,harper,4.375,-7.7169,25.76,80,96,5.92,LR,1690985372
368,masterton,-40.9597,175.6575,6.05,89,80,5.8,NZ,1690985223
369,greenville,35.6127,-77.3663,24.09,80,0,4.12,US,1690985362
370,ulsteinvik,62.3432,5.8487,18.84,78,57,3.13,NO,1690985516
371,vetluga,57.8557,45.781,21.65,68,100,0.83,RU,1690985517
372,puerto lempira,15.2667,-83.7667,24.77,94,100,2.85,HN,1690985230
373,nsunga,-1.1439,31.3947,28.15,32,77,3.08,TZ,1690985518
374,hutchinson,38.0608,-97.9298,28.97,55,0,5.66,US,1690985518
375,umm kaddadah,13.6017,26.6876,33.83,36,89,3.3,SD,1690985519
376,labrador city,52.9463,-66.9114,14.95,72,75,2.06,CA,1690985519
377,lemvig,56.5486,8.3102,21.22,70,100,2.02,DK,1690985520
378,bakchar,57.0186,82.0711,19.48,86,84,2.19,RU,1690985520
379,zarzis,33.504,11.1122,31.03,51,0,5.25,TN,1690985521
380,soledad de graciano sanchez,22.2,-100.95,17.9,68,20,1.54,MX,1690985522
381,lompoc,34.6391,-120.4579,14.73,83,100,3.13,US,1690985523
382,zhangye,38.9342,100.4517,18.98,76,100,4.29,CN,1690985524
383,kenai,60.5544,-151.2583,12.86,95,75,2.06,US,1690985524
384,delijan,33.9905,50.6838,37.47,8,22,7.18,IR,1690985525
385,kattivakkam,13.2167,80.3167,35.05,76,100,2.98,IN,1690985525
386,banda aceh,5.5577,95.3222,27.54,79,96,6.11,ID,1690985526
387,nemuro,43.3236,145.575,17.72,94,12,6.69,JP,1690985527
388,sitka,57.0531,-135.33,13.94,88,75,0.0,US,1690985527
389,hovd,48.0056,91.6419,20.58,58,87,0.98,MN,1690985528
390,bolu,40.6667,31.5833,28.07,47,12,3.69,TR,1690985529
391,volterra,43.4003,10.86,29.91,36,2,6.32,IT,1690985530
392,hampton bays,40.869,-72.5176,23.86,52,0,4.12,US,1690985530
393,san-pedro,4.7485,-6.6363,25.74,81,100,5.33,CI,1690985531
394,las lomitas,-24.7096,-60.593,31.33,24,0,5.85,AR,1690985531
395,belyy yar,53.6039,91.3903,23.94,64,0,2.0,RU,1690985532
396,dryden,49.7833,-92.7503,20.16,88,40,1.03,CA,1690985532
397,las heras,-46.5419,-68.9359,2.53,40,0,16.92,AR,1690985500
398,bousse,12.6606,-1.8922,32.95,46,100,6.19,BF,1690985533
399,vilyuysk,63.7553,121.6247,15.37,56,91,1.74,RU,1690985534
400,maralal,1.0968,36.698,18.51,67,99,3.21,KE,1690985534
401,beloyarskiy,63.7119,66.6722,26.11,51,22,2.98,RU,1690985535
402,lycksele,64.5954,18.6735,16.93,94,100,5.66,SE,1690985536
403,darwin,-12.4611,130.8418,24.94,71,0,2.57,AU,1690985318
404,selfoss,63.9331,-20.9971,16.14,51,35,4.76,IS,1690985537
405,cacapava,-23.1008,-45.7069,18.49,42,0,0.22,BR,1690985537
406,acarau,-2.8856,-40.12,30.91,54,83,7.09,BR,1690985538
407,bibiani,6.4635,-2.3194,24.7,93,99,1.73,GH,1690985538
408,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,5.14,EC,1690985539
409,pierre,44.3683,-100.351,22.51,100,100,2.06,US,1690985487
410,ormond-by-the-sea,29.3491,-81.0665,30.6,83,40,2.57,US,1690985540
411,stephenville,32.2207,-98.2023,33.43,40,95,2.24,US,1690985540
412,constantia,44.1833,28.65,32.61,64,91,10.38,RO,1690985541
413,piterka,50.6803,47.4454,32.85,24,19,3.0,RU,1690985541
414,slave lake,55.2834,-114.769,12.99,94,40,1.54,CA,1690985521
415,okondja,-0.6549,13.6753,35.03,31,99,1.24,GA,1690985542
416,santarem,-2.4431,-54.7083,30.07,74,0,3.09,BR,1690985444
417,prince rupert,54.3161,-130.3201,10.05,100,0,0.0,CA,1690985358
418,coari,-4.085,-63.1414,32.67,48,16,1.05,BR,1690985544
419,baishishan,43.5833,127.5667,24.56,82,96,4.04,CN,1690985544
420,palopo,-2.9996,120.1921,25.16,85,5,1.2,ID,1690985545
421,puerto santa,-8.9906,-78.6456,20.47,78,86,1.82,PE,1690985546
422,neryungri,56.6709,124.6491,9.34,84,99,1.61,RU,1690985546
423,hastings,50.8552,0.5729,17.18,45,100,14.43,GB,1690985266
424,sal rei,16.1833,-22.9167,29.11,65,20,4.63,CV,1690985547
425,tamazula de gordiano,19.6333,-103.25,20.25,92,97,0.56,MX,1690985548
426,magistral'nyy,56.1725,107.4458,16.68,55,28,2.48,RU,1690985547
427,archangelos,36.2149,28.1149,30.99,51,0,2.53,GR,1690985549
428,caidian,30.5833,114.0333,29.58,68,2,0.58,CN,1690985549
429,ambon,-3.6954,128.1814,26.6,95,55,6.09,ID,1690985550
430,minas de marcona,-15.2119,-75.1103,15.95,68,5,3.08,PE,1690985551
431,buala,-8.145,159.5921,25.1,90,100,2.06,SB,1690985551
432,bull savanna,17.8868,-77.5902,29.08,64,90,3.88,JM,1690985552
433,batesville,35.7698,-91.641,26.25,83,0,2.06,US,1690985308
434,igarka,67.4667,86.5833,23.03,61,14,3.54,RU,1690985553
435,roosevelt,33.9668,-103.4505,24.39,50,49,6.7,US,1690985553
436,margate,51.3813,1.3862,17.61,85,100,5.36,GB,1690985554
437,road town,18.4167,-64.6167,31.02,70,40,4.63,VG,1690985554
438,vizinga,61.0749,50.1031,21.28,86,96,1.48,RU,1690985555
439,ivdel',60.6911,60.4206,24.19,54,100,1.94,RU,1690985555
440,oamaru,-45.0784,170.9801,5.77,64,62,6.55,NZ,1690985556
441,norman gardens,-23.3224,150.5393,16.29,67,5,4.12,AU,1690985557
442,chapada dos guimaraes,-15.4606,-55.7497,27.81,21,0,3.7,BR,1690985557
443,nar'yan-mar,67.6713,53.087,27.46,47,62,3.8,RU,1690985558
444,maun,-19.9833,23.4167,26.49,22,2,4.56,BW,1690985558
445,sambava,-14.2667,50.1667,24.5,75,15,8.09,MG,1690985559
446,hau-ri,41.2006,129.4703,23.96,91,65,0.84,KP,1690985559
447,labytnangi,66.6572,66.4183,25.45,62,44,5.24,RU,1690985560
448,kani keli,-12.9536,45.1033,25.59,70,0,6.38,YT,1690985560
449,eyl,7.9803,49.8164,29.73,58,96,11.39,SO,1690985561
450,bubaque,11.2833,-15.8333,27.27,77,88,2.62,GW,1690985561
451,brampton,43.6834,-79.7663,21.51,69,100,0.45,CA,1690985495
452,revelstoke,50.9832,-118.2023,10.01,87,0,0.0,CA,1690985562
453,markaz-e hukumat-e darweshan,31.1323,64.1934,41.39,4,0,3.0,AF,1690985480
454,urangan,-25.3,152.9,19.48,64,0,6.99,AU,1690985563
455,coahuayana de hidalgo,18.7,-103.6583,27.09,84,100,1.27,MX,1690985564
456,grand falls-windsor,48.9332,-55.6649,20.28,72,100,4.03,CA,1690985420
457,kolondieba,11.0882,-6.8926,28.49,67,100,1.23,ML,1690985565
458,whistler,50.1164,-122.9695,12.53,75,93,0.18,CA,1690985565
459,namdrik,5.5994,168.1028,28.27,77,3,4.28,MH,1690985566
460,newman,37.3138,-121.0208,16.81,80,22,1.69,US,1690985567
461,las lomas,8.4333,-82.4,27.67,74,20,1.54,PA,1690985568
462,halvad,23.0167,71.1833,29.39,71,90,8.36,IN,1690985568
463,bezhetsk,57.7851,36.6965,24.0,62,96,3.97,RU,1690985569
464,cabcaben,14.454,120.5914,27.01,86,100,7.73,PH,1690985569
465,lebu,-37.6167,-73.65,10.1,74,7,7.47,CL,1690985570
466,reyes,-14.3167,-67.3833,28.09,78,0,1.54,BO,1690985500
467,fisterra,42.9049,-9.2629,23.75,73,32,5.6,ES,1690985571
468,kotri,25.366,68.3122,31.88,60,2,10.54,PK,1690985571
469,kachkanar,58.7,59.4948,20.05,70,100,1.54,RU,1690985572
470,san jose del guaviare,2.5729,-72.6459,26.44,67,12,1.69,CO,1690985573
471,hedemora,60.2797,15.9886,16.2,97,100,1.95,SE,1690985573
472,sihanoukville,10.6093,103.5296,28.97,84,40,3.09,KH,1690985574
473,katabu,-4.9333,122.5167,23.22,86,2,2.21,ID,1690985575
474,nikolayevsk-on-amure,53.1406,140.73,12.27,98,94,2.28,RU,1690985575
475,kantagi,43.5264,68.5775,33.22,15,0,5.74,KZ,1690985576
476,corner brook,48.9667,-57.9484,19.09,46,26,5.05,CA,1690985487
477,robertsport,6.7533,-11.3686,26.9,78,100,4.51,LR,1690985577
478,villaviciosa,43.4813,-5.4357,23.67,72,100,5.28,ES,1690985448
479,ribeira brava,32.65,-17.0667,29.28,65,1,0.34,PT,1690985578
480,bodo,67.28,14.405,20.53,62,0,4.12,NO,1690985578
481,usogorsk,63.4106,48.6872,26.32,39,100,0.71,RU,1690985579
482,port blair,11.6667,92.75,28.02,83,100,8.04,IN,1690985579
483,fauske,67.2588,15.3918,20.53,75,100,1.72,NO,1690985580
484,parauapebas,-6.0675,-49.9022,30.99,57,0,1.03,BR,1690985581
485,luocheng,29.3848,104.0286,24.38,91,71,0.21,CN,1690985581
486,polyarnyy,69.1989,33.4478,22.62,54,11,2.56,RU,1690985582
487,maceio,-9.6658,-35.7353,28.69,74,75,4.12,BR,1690985583
488,mitchell,43.7094,-98.0298,23.74,94,100,2.57,US,1690985583
489,darab,28.7519,54.5444,39.51,7,0,10.02,IR,1690985584
490,port lincoln,-34.7333,135.8667,15.64,49,90,8.76,AU,1690985584
491,saint-pierre,-21.3393,55.4781,23.82,78,75,7.72,RE,1690985585
492,yelovo,57.0538,54.9207,24.45,63,93,1.81,RU,1690985586
